,imdb_ids
0,499549
1,449088
3,1345836
5,401729
8,398286
10,417741
12,348150
13,830515
14,383574
15,1210819
16,770828
17,499448
18,848228
19,848228
20,1298650
21,1409024
23,948470
24,955308
25,1170358
26,385752
27,360717
28,360717
29,360717
30,120338
32,1440129
34,1074638
35,1074638
36,316654
37,1300854
38,1014759
39,1014759
40,376994
42,1055369
44,1623205
45,1623205
47,1104001
48,1104001
49,1216475
50,1133985
51,435761
52,438488
54,816711
56,1408101
57,1351685
58,1343092
59,1343092
60,473075
61,1663662
62,1399103
63,367882
65,1217209
67,910970
69,1190080
74,363771
76,468569
77,1049413
78,892782
79,371746
80,970179
81,120891
86,114898
87,1046173
91,1228705
92,1735898
97,1335975
99,892791
102,1772341
103,338348
105,892769
106,181852
109,1375666
112,903624
113,232500
114,232500
115,232500
116,421715
117,1270798
119,963966
120,409182
122,413267
125,980970
126,213149
127,418279
129,373889
130,330373
131,448157
132,480249
133,367594
134,382932
135,372784
138,458525
139,242653
140,2294629
141,234215
142,1981115
144,808151
145,800369
146,397892
147,436339
148,1646987
151,780653
153,1302011
154,938283
156,2334879
157,1305591
158,424095
163,332452
164,1277953
165,246460
168,120591
169,120912
170,442933
172,1229238
173,1446192
174,369441
175,325710
178,796366
179,145487
182,382992
183,409459
185,286716
186,1583421
189,458339
191,311113
192,1673434
193,1673434
195,800080
199,1860353
200,1192628
203,441773
205,1951264
209,407304
211,448694
212,944835
214,983193
215,304141
216,455824
217,1815862
221,1001526
222,241527
223,790736
224,325980
227,382625
229,290334
230,1596343
232,800320
233,800320
234,100802
235,100802
236,120657
238,118688
240,319262
243,486576
244,454876
247,305357
250,1535108
251,296572
254,811080
256,1013743
257,1483013
258,121766
259,121765
260,198781
261,1430132
262,120915
263,481499
269,1454468
274,477347
277,187393
279,356910
281,338751
283,990407
286,472181
287,299172
289,433035
290,2017020
292,1731141
293,337978
294,120737
295,327437
296,327437
299,343818
300,320661
301,164912
302,780521
305,399201
306,399201
308,187078
309,172495
310,181689
311,295297
312,381061
313,381061
316,103064
317,1152836
319,111503
320,1111422
322,1386588
324,1853728
325,116583
326,120917
327,1764651
329,449010
330,386117
331,848537
332,1243957
333,1243957
335,450259
336,993846
337,112462
338,120201
339,1371111
341,327554
344,133240
349,362165
351,180052
352,947810
356,217505
357,1410063
359,327162
360,265086
362,119116
363,1261945
364,138749
368,380510
369,380510
370,266543
371,167260
372,167261
374,146316
377,1318514
379,1606378
382,317705
384,814255
385,119654
386,120363
387,477080
389,161081
390,844471
391,1080016
393,160127
394,407887
395,120762
396,942385
397,1568346
398,112864
399,988045
403,230011
405,985699
408,212720
410,118884
411,164052
413,1854564
414,325703
418,183523
419,1436562
421,120461
424,82198
425,82198
426,352248
429,117998
430,162222
432,372183
433,118571
434,240772
435,1509767
436,837562
437,461770
438,2243973
441,471042
442,457939
443,120660
444,1230414
446,400717
451,397535
453,1430607
457,1667353
458,446029
459,298814
461,267913
462,1343727
463,1343727
468,489099
472,315327
473,1320253
474,117060
475,1392170
477,103776
479,275847
481,120647
482,1821694
485,2191701
487,337741
488,1130884
489,369436
490,358082
492,960731
494,1564367
496,118880
497,1059786
498,159365
500,119137
501,171363
502,117705
504,970416
505,970416
506,118883
508,120828
509,1302067
510,166813
512,120738
521,386140
523,185431
525,116996
528,986263
529,146309
534,875034
535,300556
536,119925
539,199753
545,268978
546,110357
548,1985966
549,289765
552,322259
557,311429
558,1690953
559,116629
560,119567
561,351283
562,206634
563,120903
564,493464
565,117500
566,438097
567,343660
568,427327
571,1670345
572,1375670
573,362227
576,190865
577,472062
578,307453
582,408306
586,371246
587,385880
590,166485
591,1253864
593,120913
594,329717
597,166276
598,377062
599,217869
601,978764
603,120184
606,1201167
609,240462
610,112573
611,418763
612,462538
613,268995
616,368447
618,286106
619,298148
620,317219
622,295701
625,361748
626,102057
627,99423
628,257076
630,259711
631,452637
632,370263
634,277434
635,2302755
636,120844
637,1217613
638,319061
640,1568911
642,96754
643,1027718
646,486655
650,419706
651,297181
652,1496025
653,1336608
655,1448755
659,181739
662,346156
664,1211956
667,1325004
669,1323594
672,1186830
673,132347
674,480687
678,427152
679,1611224
684,120815
686,207201
687,268380
688,285531
689,443272
690,133093
691,112384
692,304669
693,1707386
694,128853
695,838283
696,120746
697,1231583
701,106582
702,115759
705,304415
706,1645170
707,120663
713,119942
715,452608
716,116908
718,406375
719,137523
720,758794
722,102070
725,380599
730,396171
731,295178
732,375568
733,107290
739,112346
743,445934
744,1411704
745,416449
748,120689
752,258463
755,120382
756,120794
757,317303
758,1272878
760,317740
761,313737
767,879870
769,1245526
772,369339
775,790724
776,790724
779,1598778
781,327597
786,116705
787,167190
789,1623288
793,420238
795,290095
800,118583
801,822854
803,120791
805,385307
806,253556
807,1321870
809,1057500
810,473705
814,762125
815,253754
818,1226273
822,120749
823,120749
824,821642
826,181875
829,822847
830,165982
831,119081
838,1538403
839,765476
840,382628
842,494238
855,425123
861,2234155
863,485985
865,118971
866,1232200
867,116136
874,109830
876,212338
877,114148
878,78346
880,386588
881,119190
883,1535109
884,1279935
885,112642
887,252076
889,454921
890,408790
893,266697
898,104070
899,184894
901,1396218
902,865556
904,103644
909,1298649
910,1298649
915,1430626
916,824747
917,115857
918,116277
919,293508
921,402022
927,1126591
928,344510
932,187738
933,814314
934,1308729
937,463034
938,81573
942,118617
943,203009
947,1197624
949,120603
951,264464
952,1790885
953,452594
955,817230
957,120863
960,112641
967,126029
968,1385826
969,102798
971,1637725
972,119822
975,280590
976,1650062
977,195685
978,251127
981,1068680
983,120686
986,454848
987,120784
988,112715
989,1389137
990,448011
992,377109
996,1210166
997,114069
1000,434409
1001,300471
1004,400497
1005,260866
1006,1428538
1008,1464540
1015,119173
1016,119174
1017,384537
1020,120768
1022,109254
1025,119874
1026,318627
1027,317198
1030,424774
1031,163978
1032,350028
1033,1186367
1034,126916
1036,117765
1041,112401
1042,367959
1044,1517260
1048,116225
1050,129167
1051,362270
1054,331933
1056,765443
1060,1462041
1064,977855
1066,421054
1068,1034032
1069,1559547
1070,266452
1076,267804
1079,1131729
1081,97576
1082,1781769
1085,258000
1091,35423
1094,381849
1096,120780
1097,115798
1102,83944
1103,83944
1107,119738
1109,278504
1110,117731
1113,119528
1118,306047
1119,212346
1120,373051
1121,368933
1123,109446
1124,825232
1127,1392214
1128,139654
1129,177789
1131,1204342
1132,120611
1133,393162
1136,200550
1137,314331
1138,120623
1139,120681
1140,120681
1141,111255
1145,371724
1147,432021
1149,408985
1153,337921
1155,429589
1156,87182
1157,445922
1158,445922
1159,959337
1162,116421
1170,1139328
1172,1046997
1179,1634122
1181,1024648
1182,106977
1188,80855
1194,191754
1195,342258
1196,253867
1198,1438254
1199,472399
1201,125439
1202,120630
1205,2404463
1208,257756
1209,117057
1211,889583
1212,97742
1213,1486185
1215,108255
1216,399295
1219,1598828
1223,1149361
1224,298203
1226,183790
1228,167404
1231,87538
1232,87538
1233,1800241
1234,1041829
1236,96874
1239,338459
1243,104694
1245,1285016
1246,1001508
1248,134084
1249,99088
1252,1135503
1253,453562
1254,134119
1260,350258
1261,401792
1263,1155056
1264,256380
1268,974661
1270,1144884
1273,1226229
1275,122718
1276,120177
1278,1189340
1281,482571
1283,765446
1286,1424381
1288,363988
1289,410297
1290,397101
1292,866439
1301,758766
1302,1092026
1305,134273
1309,1622979
1316,111143
1318,1126618
1321,294870
1326,467200
1331,1657507
1332,120800
1337,114436
1338,422720
1341,1649419
1343,432283
1347,363282
1357,1188729
1358,160399
1361,448134
1366,486822
1367,486822
1370,110074
1378,452694
1380,1142977
1381,379786
1383,86393
1387,1142988
1389,287717
1404,929632
1405,929632
1408,1411250
1411,970411
1412,1560747
1417,840361
1418,1586265
1419,887883
1420,410377
1421,1979320
1422,175880
1423,1385867
1425,1564349
1426,1099212
1427,1099212
1429,181316
1430,1723121
1434,1231587
1442,1161864
1443,119177
1447,1119646
1449,145660
1450,96895
1453,878804
1455,227538
1456,1499658
1457,1403865
1458,458352
1459,79945
1460,2024432
1462,478087
1465,116209
1466,119488
1467,405325
1469,114508
1470,87800
1471,87800
1472,209958
1473,120744
1474,1028576
1475,453556
1479,2140373
1480,104797
1486,417001
1488,120804
1489,84516
1490,84516
1492,467197
1493,1637688
1494,1212436
1499,111301
1504,376541
1507,238546
1508,100403
1511,80745
1517,1415283
1520,327679
1527,257516
1528,1547234
1531,1904996
1532,360201
1540,244000
1541,962736
1542,365929
1543,478304
1549,383060
1556,120152
1561,1164999
1562,416496
1566,106226
1567,414993
1570,876563
1578,104257
1582,1093357
1583,1800741
1584,417148
1585,417148
1589,1656190
1591,86190
1592,483607
1593,976051
1594,1655460
1597,281373
1598,96061
1599,457510
1600,1478338
1601,1245492
1604,1135084
1605,1931435
1607,945513
1609,481369
1615,114214
1618,1053424
1621,790628
1622,118829
1626,78788
1627,1322312
1631,1907668
1632,79574
1639,299658
1642,114709
1643,111257
1644,1606389
1646,210945
1647,99810
1648,1327773
1649,364725
1650,364725
1651,101272
1653,247638
1654,116313
1655,114369
1656,1136608
1658,327056
1659,405159
1660,122933
1661,332280
1664,213203
1666,110322
1667,1193138
1668,257360
1669,1588173
1674,800039
1677,871426
1678,119313
1679,901476
1681,337563
1682,1605783
1684,221027
1686,98382
1688,110622
1693,783233
1694,892318
1697,121164
1701,1127180
1703,327137
1705,300532
1706,420223
1707,389722
1708,1259521
1710,95631
1712,91419
1713,993842
1715,119707
1717,1939659
1718,1939659
1719,446046
1723,472033
1724,2053463
1725,2053463
1727,1449283
1739,1458175
1740,370032
1741,398712
1745,758752
1746,411061
1747,395972
1748,327247
1749,1017460
1750,91225
1756,1438176
1757,402399
1758,131646
1767,1054606
1768,1423894
1770,2364841
1771,218817
1779,482546
1781,398913
1795,358273
1799,870111
1806,366627
1807,103639
1809,87469
1811,164334
1814,95016
1818,349825
1819,363547
1820,363547
1821,209475
1823,265666
1824,309698
1825,1204975
1828,111438
1829,196229
1830,1702439
1831,107120
1832,481141
1833,1250777
1834,1622547
1837,414387
1838,83658
1841,498399
1846,1273678
1847,120133
1853,1650554
1857,478311
1858,1078588
1859,494652
1861,465551
1864,102975
1866,119468
1867,80455
1868,1018785
1872,425210
1873,425210
1877,118929
1880,89908
1882,795351
1888,155711
1894,322330
1895,405422
1896,138097
1899,910936
1900,120631
1902,99582
1904,75784
1905,421239
1906,309593
1907,190590
1908,1038686
1909,1980209
1910,385267
1913,765010
1914,765010
1916,1598822
1927,387131
1929,107614
1930,95953
1931,1205489
1933,936501
1936,108052
1937,1454029
1938,1837703
1944,1060277
1945,103060
1947,477348
1949,243155
1950,241303
1951,333780
1952,1047540
1953,1411238
1954,108358
1955,165929
1958,414982
1960,398808
1961,308644
1963,1601913
1964,382077
1965,357413
1966,99685
1971,93389
1972,1524137
1974,469494
1979,271027
1980,852713
1981,388500
1985,301470
1987,306685
1988,274558
1989,454945
1994,127536
1995,144120
2000,111161
2002,116778
2005,1322269
2006,396652
2013,989757
2014,480255
2015,1270761
2024,362478
2034,787475
2040,968264
2045,1291584
2047,107007
2054,999913
2057,898367
2062,114614
2064,861689
2065,383222
2078,2193215
2083,94947
2084,94947
2088,120082
2091,190138
2097,122459
2100,1234548
2102,172493
2104,158811
2112,112389
2114,1433108
2116,1156398
2118,80684
2120,102510
2121,195714
2123,134847
2124,244970
2125,1798709
2128,149691
2130,1506999
2137,1035736
2144,450385
2145,94012
2147,99653
2148,129387
2149,111070
2152,112579
2156,113957
2159,320691
2161,1130080
2169,261392
2170,221218
2172,236348
2175,356721
2182,389557
2191,465538
2195,1859650
2197,158983
2198,795368
2199,795368
2202,1045658
2204,1405500
2205,293662
2207,144814
2209,1176740
2212,1340800
2215,83642
2217,82971
2218,104431
2219,75860
2221,92644
2223,102926
2224,105793
2228,1457767
2231,332379
2232,113855
2233,381707
2235,311289
2237,2024544
2238,303933
2240,99487
2243,67116
2244,67116
2250,283426
2251,357507
2252,477071
2260,433386
2262,101452
2263,483726
2266,120094
2270,918927
2271,372588
2272,1572315
2273,112722
2276,1013753
2279,1268799
2280,120890
2282,1226753
2283,146882
2285,116260
2286,200465
2287,338013
2288,1414382
2290,1213663
2292,433362
2299,430634
2303,800308
2304,120877
2311,89457
2314,758758
2316,938330
2317,116367
2319,113321
2320,373074
2323,419887
2324,315733
2328,1232207
2332,913354
2334,770703
2340,258068
2343,995039
2345,1228987
2347,799934
2351,144640
2356,780511
2360,345074
2367,2002718
2370,151568
2372,1571222
2373,405296
2383,844286
2384,383028
2385,119698
2386,310778
2387,80492
2391,238380
2402,1013860
2405,1274300
2408,882978
2415,2005374
2416,446755
2419,1284575
2421,356470
2422,117571
2423,245674
2424,81505
2425,88763
2429,889573
2434,455407
2438,816442
2443,1870529
2447,384806
2448,268126
2451,120669
2452,1058017
2454,110475
2456,443453
2457,250494
2458,88170
2459,404032
2466,118655
2468,1650043
2469,93773
2470,86879
2471,926129
2472,377092
2474,280707
2476,91738
2478,2334873
2481,117723
2482,80749
2483,80749
2484,1596346
2487,87078
2488,81398
2492,1542344
2494,210616
2500,403702
2507,98519
2511,824758
2512,109707
2515,1032755
2517,116477
2518,116477
2531,1024744
2533,88993
2534,88993
2537,89893
2539,829482
2543,443536
2545,465494
2549,230600
2550,90605
2552,119345
2554,375063
2556,77651
2557,77651
2558,77651
2561,475394
2565,1152398
2571,1981677
2577,1210042
2579,1288558
2582,94074
2587,443543
2588,443543
2592,405336
2599,114388
2600,416508
2601,815244
2602,315983
2603,97165
2604,109686
2609,1655442
2610,1139668
2611,1139668
2612,1748122
2616,457430
2620,1265990
2623,425112
2624,430770
2625,497465
2628,283139
2629,1131734
2631,93818
2632,1403981
2634,95687
2642,91203
2647,1924429
2648,1924429
2652,1191111
2663,439815
2664,86960
2665,99785
2667,84805
2668,92099
2669,190332
2670,169547
2671,1504320
2672,96320
2675,88939
2678,81375
2680,1196141
2681,2023587
2684,436697
2685,94721
2687,110367
2688,1596365
2689,455857
2692,77416
2698,133751
2706,198021
2713,372532
2715,93779
2717,780504
2720,463854
2723,199725
2724,119229
2725,881891
2727,115963
2728,416320
2729,493949
2730,107943
2731,118749
2736,283084
2739,1555064
2740,134619
2741,1817273
2744,887912
2746,1764234
2752,417225
2754,1172233
2761,1258972
2764,88846
2767,118715
2773,278500
2777,780536
2778,1699755
2782,1178663
2786,373469
2788,166924
2790,1182350
2791,1334260
2793,800241
2794,90848
2800,414852
2806,1020558
2820,107048
2822,117509
2827,1010048
2828,93010
2829,100405
2834,106611
2835,1179891
2839,146336
2841,103247
2843,1007029
2851,971209
2857,109504
2859,211443
2864,404203
2870,808244
2876,981072
2877,466893
2880,388795
2881,112697
2882,297884
2887,1931533
2893,93105
2896,947798
2897,71562
2898,206275
2901,242423
2902,96487
2905,147800
2909,289879
2914,116493
2915,99253
2917,884328
2919,120601
2923,498380
2929,144168
2932,120577
2935,1711425
2936,401711
2938,1814621
2940,1352824
2949,1478964
2951,1911644
2954,1045772
2956,168786
2959,1216520
2960,104348
2961,954947
2962,83722
2963,83722
2966,805564
2968,168629
2972,985694
2973,1194417
2974,95489
2977,70047
2978,73195
2979,163651
2982,1621045
2984,84726
2985,109040
2986,86567
2988,1591479
2991,119396
2993,1706593
2995,81633
2996,275022
2997,275022
3001,1082868
3002,406759
3005,104940
3006,120679
3009,128442
3017,429591
3020,1821549
3023,1625346
3024,479884
3028,1084950
3030,335119
3031,82096
3033,2194499
3040,470765
3042,439289
3045,199626
3048,468492
3050,129332
3051,423977
3053,238924
3055,212712
3058,1235796
3077,208092
3078,208092
3084,87363
3085,76759
3089,962726
3090,964517
3091,493430
3092,104952
3095,97815
3096,964587
3097,183649
3100,139134
3102,82517
3103,82517
3104,416212
3110,72684
3117,362269
3118,106308
3122,383694
3142,83866
3151,119217
3155,204946
3159,375210
3163,104868
3164,391198
3166,263488
3167,96928
3169,1412386
3172,88944
3174,1314655
3179,981227
3180,120655
3181,280460
3183,98206
3192,1876451
3193,242998
3194,1220198
3199,128445
3200,1564585
3206,100814
3207,295700
3222,151804
3223,157503
3227,86984
3235,120586
3249,1226236
3253,375679
3254,375679
3269,173716
3278,286112
3283,1372686
3285,253126
3289,1183923
3290,110857
3296,1247662
3304,349416
3305,496436
3317,1376195
3318,1091722
3324,1602620
3325,95889
3328,441909
3329,82509
3334,1527186
3337,78748
3338,72271
3339,72271
3340,1017451
3343,1701990
3345,117603
3347,94862
3351,366551
3353,181984
3355,454082
3357,97499
3358,775529
3360,202677
3361,280760
3368,1104733
3369,120879
3372,290879
3375,286261
3382,1068678
3383,90555
3391,93437
3397,126886
3403,810784
3408,460989
3413,110912
3418,88161
3419,449059
3420,92005
3421,289043
3426,1306980
3436,437800
3439,144084
3440,279113
3441,479647
3442,1300851
3443,896923
3445,1282140
3455,1431181
3456,283832
3459,804497
3460,1371155
3464,485601
3467,283503
3471,457572
3473,1235189
3477,342272
3479,94625
3486,324133
3494,427944
3495,498353
3496,1174732
3497,338427
3511,808417
3515,1289406
3517,467406
3518,467406
3521,68646
3522,85549
3523,1022603
3526,282209
3529,832266
3530,1640484
3531,433383
3532,379725
3535,74812
3537,94612
3538,435625
3542,395584
3548,1019452
3549,1194263
3552,1315981
3553,95497
3556,252444
3564,1336617
3572,1121977
3575,1421051
3578,1403177
3580,302674
3587,144117
3593,942903
3594,106677
3604,1003034
3605,861739
3613,139239
3614,436331
3617,161860
3618,1723811
3619,375912
3622,359423
3624,790712
3627,88247
3628,301357
3633,113749
3634,77631
3635,91763
3644,114814
3647,1125849
3649,218839
3650,82340
3655,95690
3657,120148
3665,1840417
3668,1540133
3671,147004
3676,248845
3679,323944
3690,1541995
3693,76245
3703,86541
3713,286499
3719,70735
3723,2229499
3724,68699
3725,162346
3733,1508675
3736,405508
3745,81534
3747,2226417
3748,432348
3752,1778304
3756,2109184
3760,340855
3767,209144
3769,424345
3770,249462
3771,1727388
3777,1637706
3782,119080
3787,259446
3788,2101441
3791,365748
3796,83833
3798,1772240
3799,862846
3808,332375
3813,98546
3815,120831
3818,1182345
3827,1531663
3832,935075
3842,1465522
3874,450278
3875,423409
3876,1675192
3892,87928
3895,83929
3897,307901
3899,115736
3900,180093
3905,246578
3908,283003
3909,808526
3910,451094
3914,1629705
3918,73486
3920,75222
3925,203119
3927,298228
3928,1532957
3934,104036
3935,84522
3939,335266
3940,75686
3949,842926
3950,96256
3953,2034139
3964,292644
3967,113101
3975,873886
3976,366780
4001,1422136
4004,68156
4014,74958
4025,464049
4030,80339
4047,92991
4054,367631
4066,76141
4068,1615147
4075,783238
4076,2106476
4085,1185836
4086,390221
4087,1532503
4089,77975
4093,117951
4095,1536044
4101,2184339
4102,1922777
4106,118570
4111,74512
4129,296166
4131,240200
4135,878835
4136,67992
4139,77405
4141,155776
4145,147612
4150,1640459
4152,116361
4154,1232776
4166,1535616
4187,439478
4193,410097
4197,72431
4198,848557
4207,71230
4208,87298
4220,117887
4222,67065
4226,333766
4227,112471
4244,1512235
4264,83972
4278,1038988
4286,70707
4292,171804
4294,405094
4298,286244
4299,120321
4301,381681
4303,328538
4305,1399683
4308,415978
4317,367027
4318,1185616
4324,1518812
4327,118866
4331,780622
4346,423169
4380,1440292
4387,1320244
4388,1266029
4392,2125435
4394,210299
4395,1562568
4406,130827
4407,303361
4415,382189
4427,71360
4432,473308
4433,92675
4436,367089
4437,264761
4441,118789
4442,1591095
4443,87995
4446,357110
4447,1758795
4463,1226681
4486,120735
4489,154420
4502,82418
4511,98724
4512,387564
4513,247745
4516,265343
4519,179116
4521,105236
4525,1758575
4540,348333
4555,75148
4559,75314
4562,1991245
4563,93177
4567,1120985
4568,407265
4569,1560985
4570,65466
4579,1720182
4582,1441326
4584,978759
4587,118113
4594,124819
4600,1077262
4601,477139
4615,120813
4660,424136
4662,1684628
4673,490166
4678,114906
4688,1278340
4691,69704
4694,1862079
4696,1788391
4707,242587
4721,185937
4737,1129423
4768,1470827
4794,435623
4802,374900
4804,1179904
4806,71853
4807,451176
4815,1033643
4817,91578
4824,83907
4839,115856
4840,311648
4843,1152850
4846,474361
4861,118842
4862,258273
4865,113416
4870,116931
4873,1758692
4899,182508
4920,756683
4923,448182
4928,1714210
4932,1549572
4936,907657
4950,1742336
4959,74486
4974,138704
4983,1874789
4988,1570989
5009,109445
5011,327753
5012,119361
5015,102943
5025,69089
5033,390384
5035,104815
5043,1905041
5044,2425486
5045,2404311
5046,1951261
5047,2094064
5048,1716777
5049,1234719
5050,1386703
5051,816462
5052,409847
5053,1068242
5054,1201607
5055,1606618
5056,1219289
5057,1498569
5058,1235170
5059,1324999
5060,1313092
5061,1244754
5062,1323045
5063,926084
5064,429493
5065,775489
5066,1155076
5067,1013752
5068,1083456
5069,758746
5070,465580
5071,1132620
5072,1103982
5073,892255
5074,489018
5075,1034303
5076,486321
5077,1227929
5078,465502
5079,1139797
5080,368563
5081,1000774
5082,482606
5083,452623
5084,373883
5085,29356
5086,425430
5087,780607
5088,857191
5089,470705
5090,374536
5091,393109
5092,360486
5093,120667
5094,418773
5095,377107
5096,369994
5097,432291
5098,443295
5099,339291
5100,338526
5101,287978
5102,316396
5103,366920
5104,338188
5105,339840
5106,303816
5107,319970
5108,307479
5109,289408
5110,298130
5111,251075
5112,212985
5113,221889
5114,142032
5115,257001
5116,195234
5117,219699
5118,165643
5119,190641
5120,162661
5121,120855
5122,120616
5123,120458
5124,162973
5125,120685
5126,120694
5127,120812
5128,118661
5129,120108
5130,128996
5131,119114
5132,119282
5133,115591
5134,116191
5135,116282
5136,117589
5137,113497
5138,112130
5139,114319
5140,114323
5141,114746
5142,110889
5143,111282
5144,103893
5145,104412
5146,105151
5147,101414
5148,99817
5149,100263
5150,96438
5151,93409
5152,93870
5153,89469
5154,87332
5155,84827
5156,82495
5157,80716
5158,80761
5159,78767
5160,77402
5161,77713
5162,74156
5163,75249
5164,73629
5165,71222
5166,72308
5167,67741
5168,67800
